listing_id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
33419,97,10,10,10,10,10,10
33447,99,10,10,10,10,10,10
33449,99,10,10,10,10,10,10
33773,96,10,10,10,10,10,10
35526,98,10,10,10,10,10,10
35933,96,10,9,10,10,9,9
35950,86,9,8,10,10,10,9
36067,94,10,9,10,10,9,9
36121,98,10,10,10,10,10,10
36442,80,7,7,8,9,8,7
36647,95,10,10,10,10,9,9
36934,88,9,10,10,10,10,8
37036,87,10,10,10,10,10,9
37149,93,9,8,10,10,9,10
37171,96,10,10,10,10,10,10
37324,100,10,10,10,10,10,10
37466,99,10,10,10,10,10,10
38245,85,8,8,9,10,9,9
38365,100,10,10,10,10,10,10
38545,96,10,9,10,10,10,9
38579,92,8,9,10,9,9,9
38585,96,10,10,10,10,9,10
38638,95,10,10,10,10,10,9
38663,93,10,9,10,10,10,9
39116,98,10,10,10,10,10,10
39405,98,10,10,10,10,10,10
39516,98,10,10,10,10,10,10
39572,96,10,10,10,10,10,10
39742,93,9,9,10,10,10,10
39938,98,10,10,10,10,10,10
40248,100,10,10,10,10,10,10
40285,98,10,10,10,10,10,9
40453,100,10,9,10,10,10,10
40601,99,10,10,10,10,10,10
40649,80,8,7,9,10,8,8
40667,85,7,7,10,9,8,9
41348,92,9,9,10,10,9,9
41401,96,10,10,10,10,9,9
41425,95,10,9,10,10,8,10
41513,80,10,8,10,10,8,8
41601,96,10,10,10,10,9,10
42165,85,9,8,9,9,8,9
42729,91,9,9,9,9,9,9
42744,90,9,8,10,10,10,9
42882,95,10,9,10,10,9,9
43170,80,8,9,10,9,10,8
43318,88,9,9,9,9,9,9
43373,93,9,9,10,10,10,9
43776,99,10,10,10,10,10,10
43785,96,10,10,9,10,10,9
44062,91,9,9,10,10,9,9
44161,95,10,9,10,10,9,9
44205,99,10,10,10,10,10,10
44212,93,10,9,10,10,10,9
44229,93,10,10,10,9,10,9
44511,89,9,9,9,10,7,9
44520,93,10,9,10,10,10,9
